Location,Commodity,15:00,16:00,17:00,18:00,19:00,20:00,21:00,22:00,23:00
KM5,AÇ,18,0,25,0,24,0,0,0,0
KM5,ML,20,0,0,0,53,0,0,0,0
KM5,SJ,48,0,0,0,0,0,0,0,0
KM5,CRR,0,0,0,0,0,0,0,0,0
KM5,VZ,16,0,0,0,0,0,0,0,0
KM5,FO,48,0,0,0,0,0,0,0,0
KM5,CNTR,0,37,0,0,0,0,0,0,0
KM5,F100,0,0,0,0,15,0,0,0,0
KM5,ADU,0,0,0,0,0,0,0,0,0
FOSPAR,AÇ,0,0,0,0,0,0,0,0,0
FOSPAR,ML,0,0,0,0,0,0,0,0,0
FOSPAR,SJ,0,0,0,0,0,0,0,0,0
FOSPAR,CRR,0,0,0,0,0,0,0,0,0
FOSPAR,VZ,0,0,0,0,0,0,0,0,0
FOSPAR,FO,0,0,0,0,0,0,0,0,0
FOSPAR,CNTR,0,0,0,0,0,0,0,0,0
FOSPAR,F100,0,0,0,0,0,0,0,15,0
FOSPAR,ADU,0,0,0,0,0,0,0,0,0
CATTALINA 1,AÇ,0,0,0,0,0,0,0,0,0
CATTALINA 1,ML,0,0,0,0,0,0,0,0,0
CATTALINA 1,SJ,0,0,0,0,0,0,0,0,0
CATTALINA 1,CRR,0,0,0,0,0,0,0,0,0
CATTALINA 1,VZ,0,0,0,16,0,0,0,0,0
CATTALINA 1,FO,0,0,0,0,0,0,0,0,0
CATTALINA 1,CNTR,0,0,0,0,0,0,0,0,0
CATTALINA 1,F100,0,0,0,0,0,0,0,0,0
CATTALINA 1,ADU,0,0,0,0,0,0,0,0,0
TCP,AÇ,0,0,0,0,0,0,0,0,0
TCP,ML,0,0,0,0,0,0,0,0,0
TCP,SJ,0,0,0,0,0,0,0,0,0
TCP,CRR,0,0,0,0,0,0,0,0,0
TCP,VZ,0,0,0,0,0,0,0,0,0
TCP,FO,0,0,0,0,0,0,0,0,0
TCP,CNTR,0,0,0,0,37,0,0,0,0
TCP,F100,0,0,0,0,0,0,0,0,0
TCP,ADU,0,0,0,0,0,0,0,0,0
CBL,AÇ,0,0,0,0,0,0,0,0,0
CBL,ML,0,0,0,0,0,0,0,0,0
CBL,SJ,0,0,0,0,0,0,0,0,0
CBL,CRR,0,0,0,0,0,0,0,0,0
CBL,VZ,0,0,0,0,0,0,0,0,0
CBL,FO,0,0,0,0,0,0,0,0,0
CBL,CNTR,0,0,0,0,0,0,0,0,0
CBL,F100,0,0,0,0,0,0,0,0,0
CBL,ADU,0,0,0,0,0,0,0,0,0
PASA 1,AÇ,0,0,18,0,0,25,0,24,0
PASA 1,ML,0,0,0,0,0,0,0,0,0
PASA 1,SJ,0,0,0,0,0,0,0,0,0
PASA 1,CRR,0,0,0,0,0,0,0,0,0
PASA 1,VZ,0,0,0,0,0,0,0,0,0
PASA 1,FO,0,0,0,0,0,0,0,0,0
PASA 1,CNTR,0,0,0,0,0,0,0,0,0
PASA 1,F100,0,0,0,0,0,0,0,0,0
PASA 1,ADU,0,0,0,0,0,0,0,0,0
BUNGE AZ5,AÇ,0,0,0,0,0,0,0,0,0
BUNGE AZ5,ML,0,0,0,0,0,0,0,0,0
BUNGE AZ5,SJ,0,0,0,0,0,0,0,0,0
BUNGE AZ5,CRR,0,0,0,0,0,0,0,0,0
BUNGE AZ5,VZ,0,0,0,0,0,0,0,0,0
BUNGE AZ5,FO,0,0,0,48,0,0,0,0,0
BUNGE AZ5,CNTR,0,0,0,0,0,0,0,0,0
BUNGE AZ5,F100,0,0,0,0,0,0,0,0,0
BUNGE AZ5,ADU,0,0,0,0,0,0,0,0,0
CARGILL,AÇ,0,0,0,0,0,0,0,0,0
CARGILL,ML,0,0,0,0,0,0,0,36,0
CARGILL,SJ,0,0,0,0,0,0,0,0,0
CARGILL,CRR,0,0,0,0,0,0,0,0,0
CARGILL,VZ,0,0,0,0,0,0,0,0,0
CARGILL,FO,0,0,0,0,0,0,0,0,0
CARGILL,CNTR,0,0,0,0,0,0,0,0,0
CARGILL,F100,0,0,0,0,0,0,0,0,0
CARGILL,ADU,0,0,0,0,0,0,0,0,0
COTRIGUACU,AÇ,0,0,0,0,0,0,0,0,0
COTRIGUACU,ML,0,0,20,0,0,0,0,17,0
COTRIGUACU,SJ,0,0,0,0,0,0,0,0,0
COTRIGUACU,CRR,0,0,0,0,0,0,0,0,0
COTRIGUACU,VZ,0,0,0,0,0,0,0,0,0
COTRIGUACU,FO,0,0,0,0,0,0,0,0,0
COTRIGUACU,CNTR,0,0,0,0,0,0,0,0,0
COTRIGUACU,F100,0,0,0,0,0,0,0,0,0
COTRIGUACU,ADU,0,0,0,0,0,0,0,0,0
DREYFUS,AÇ,0,0,0,0,0,0,0,0,0
DREYFUS,ML,0,0,0,0,0,0,0,0,0
DREYFUS,SJ,0,0,0,29,0,0,0,0,0
DREYFUS,CRR,0,0,0,0,0,0,0,0,0
DREYFUS,VZ,0,0,0,0,0,0,0,0,0
