,node1,node2
0,45,1
1,1,2
2,2,46
3,2,47
4,1,3
5,1,4
6,1,5
7,3,6
8,5,7
9,6,50
10,7,48
11,4,20
12,7,8
13,8,52
14,6,9
15,8,10
16,9,53
17,9,19
18,19,20
19,10,11
20,11,12
21,11,69
22,12,13
23,13,14
24,11,14
25,14,15
26,15,51
27,15,16
28,16,49
29,16,17
30,17,54
31,17,18
32,18,55
33,18,56
34,10,21
35,20,21
36,21,57
37,19,29
38,20,23
39,21,22
40,22,59
41,22,24
42,23,24
43,24,25
44,25,58
45,25,26
46,23,27
47,26,27
48,27,28
49,28,29
50,26,30
51,28,31
52,29,33
53,30,60
54,30,32
55,31,32
56,31,34
57,32,36
58,33,34
59,34,35
60,35,37
61,35,36
62,36,38
63,37,41
64,41,61
65,38,39
66,39,68
67,39,40
68,40,62
69,40,42
70,42,63
71,42,64
72,42,65
73,42,43
74,43,66
75,43,44
76,44,67
