node,x,y,terminal
KM5,-10,0,TRUE
1,-7,-1,FALSE
2,0,-1,FALSE
3,0,0,FALSE
4,0,1,FALSE
5,6,-1,FALSE
6,1,1,FALSE
7,1,1,FALSE
8,14,-1,FALSE
9,20,1,FALSE
10,18,2,FALSE
11,21,3,FALSE
12,21,5,FALSE
13,18,6,FALSE
14,18,8,FALSE
15,18,9,FALSE
16,18,10,FALSE
17,18,11,FALSE
18,21,-1,FALSE
19,22,0,FALSE
20,24,1,FALSE
21,28,1,FALSE
22,29,0,FALSE
23,31,1,FALSE
24,33,1,FALSE
25,34,1,FALSE
26,35,0,FALSE
27,36,0,FALSE
28,36,-1,FALSE
29,52,1,FALSE
30,54,0,FALSE
31,55,1,FALSE
32,58,-1,FALSE
33,59,0,FALSE
34,61,0,FALSE
35,63,1,FALSE
36,64,0,FALSE
37,64,1,FALSE
38,65,7,FALSE
39,65,8,FALSE
40,70,3,FALSE
41,72,14,FALSE
42,70,16,FALSE
43,71,17,FALSE
USINA,-31,2,TRUE
TRILHO,-5,-4,TRUE
KLABIN,0,-4,TRUE
MULTITRANS,0,4,TRUE
CATTALINA 1,24,11,TRUE
CATTALINA 2,5,-2,TRUE
CATTALINA 3,25,9,TRUE
PLANTBEM,10,4,TRUE
ANDALI,16,-2,TRUE
PETROBRAS,29,15,TRUE
VOPAK,24,16,TRUE
FOSPAR,20,20,TRUE
BUNGE AZ5,26,6,TRUE
PASA 1,53,6,TRUE
PASA 2,38,10,TRUE
ROCHA,55,2,TRUE
COTRIGUACU,71,5,TRUE
CORREDOR,71,10,TRUE
INTERALLI,85,13,TRUE
DREYFUS,85,14,TRUE
VAZIO,85,15,TRUE
CARGILL,81,16,TRUE
CENTRO-SUL,87,17,TRUE
TCP,100,10,TRUE
CBL,15,3,TRUE
